Mean_NDSM,SCI_NM,CMMN_NM,CON_DEC,Specie,names,min,max,avg,std,ske,kur,p05,p25,p50,p75,p90,c00,int_min,int_max,int_avg,int_std,int_ske,int_kur,int_p05,int_p25,int_p50,int_p75,int_p90
1430.619718,Quercus rubra,Red oak,1,2,8953,1.38,20.43,9.48,5.47,0.23,1.96,1.41,5.41,8.19,14.32,17.32,119,2546,32573,6835,6220.56,2.51,8.91,2814,3350,4288,7705,13212
690.5555556,Acer platanoides,Norway maple,1,1,8954,4.2,8.38,6.53,0.97,-0.45,3.07,4.87,6.13,6.59,7.01,7.65,26,2680,5494,3427,662.1,1.55,4.98,2814,3082,3216,3584,4221
861.8469388,Quercus rubra,Red oak,1,2,8975,2.94,11.2,7.69,1.78,-0.19,2.69,5.01,6.42,7.77,8.84,9.9,131,2412,32767,4369,4076.43,5.11,30.81,2680,3082,3484,4020,4690
1225.854054,Acer platanoides,Norway maple,1,1,8981,1.42,16.07,9.07,3.93,-0.11,1.92,2.88,6.09,9.01,12.33,14.37,292,2546,21152,5181,2859.08,2.43,9.38,2948,3618,4154,5226,9072
584.5,Platanus occidentalis,American sycamore,1,4,8984,1.58,8.34,4.11,1.86,0.36,2.26,1.81,1.93,4.04,5.35,6.64,125,2546,27336,6514,5321.1,1.8,5.33,2814,3350,4020,6834,15437
317.0833333,Juniperus virginiana,Eastern redcedar,0,10,9013,1.51,5.02,2.94,1.05,0.45,1.89,1.65,2.07,2.68,3.85,4.57,35,4824,23316,12519,4432.29,0.13,2.62,5199,9849,12730,14874,17795
1137.450382,Cercis canadensis,Eastern redbud,1,5,9017,1.59,16.39,9.5,4.25,-0.45,2.22,1.72,7.12,10.09,12.83,14.71,192,2412,32767,5569,5657.49,3.55,15.26,2680,3216,3886,5092,8308
658.8253968,Taxodium distichum,Bald cypress,0,6,9025,1.6,9.18,5.15,1.59,0.17,2.47,2.62,4.21,4.83,6.42,7.15,202,2546,15142,5213,2331,1.52,5.38,2821,3517,4489,6298,8429
531.4285714,Quercus rubra,Red oak,1,2,9028,3.08,7.19,5.37,1.62,-0.46,1.51,3.13,4.33,5.69,6.48,6.97,7,2546,3886,3120,435.68,0.36,2.27,2586,2881,3216,3216,3484
547.0789474,Cedrus deodora,Deodar cedar,0,9,9035,1.81,7.87,4.93,1.85,-0.02,1.58,2.55,3.11,5.39,6.49,7.46,77,4288,25594,11479,5557.51,0.66,2.44,4797,6700,10318,15678,20023
818.4807692,Cedrus deodora,Other (See Notes),0,9,9040,1.37,17.48,7.33,4.24,0.71,2.39,2.75,3.63,6.08,10.81,13.11,869,2948,32767,17440,8660.48,-0.14,1.54,4422,9246,18614,25862,28140
901.7963918,Platanus occidentalis,American sycamore,1,4,9042,1.38,16.02,8.29,3.28,0.68,2.68,4.01,6.27,6.9,10.36,13.94,2014,2412,32767,14041,10245.9,0.6,1.89,3216,4690,10586,23690,31304
793.0777778,Taxodium distichum,Bald cypress,0,6,9047,3.82,13.41,7.26,2.17,0.85,3.11,4.7,5.59,6.65,8.93,10.34,95,2546,8308,4007,989.16,1.62,6.53,2948,3350,3752,4355,5360
521.5294118,Taxodium distichum,Bald cypress,0,6,9049,2.55,7.79,4.49,1.85,0.7,2.02,2.63,2.87,4.15,5.71,7.69,19,3350,6834,4634,923.33,0.88,2.94,3591,4020,4422,5025,5869
542.1940299,Cedrus deodora,Deodar cedar,0,9,9051,1.79,8.91,4.94,1.56,0.33,2.51,2.62,3.84,4.68,5.97,6.97,127,3350,29480,18318,6869.97,-0.43,2.28,4623,14472,18760,24187,26559
510.7755102,Ulmus parvifolia,Chinese elm,1,3,9062,1.59,7.9,4.06,1.35,0.78,3.8,2.07,3.21,4.09,4.51,5.75,97,2680,29078,7655,6002.34,1.76,5.41,3082,3752,5092,9648,17688
701.1086957,Ulmus parvifolia,Chinese elm,1,3,9070,1.41,8.63,5.3,2.44,-0.33,1.7,1.54,3.41,5.65,7.64,8.08,77,2680,28766,6231,5587.06,2.11,6.58,2814,3350,3752,4958,16536
1457.636364,Quercus rubra,Red oak,1,2,9075,3.85,17.29,13.22,4.56,-1.11,2.62,4.48,12.19,15.68,16.27,16.51,15,2948,5360,3743,815.82,0.92,2.43,2948,3082,3618,3886,5092
498.25,Acer platanoides,Norway maple,1,1,9080,3.56,5.85,4.84,0.97,-0.4,1.34,3.56,4.05,5.16,5.59,5.74,7,2680,4824,3369,723.39,1.11,2.94,2720,2881,3350,3484,4100
883.2394366,Juniperus virginiana,,0,10,9087,1.37,13.8,7.32,3.3,-0.23,1.99,1.73,5.13,7.01,9.89,11.47,102,2546,23450,5880,3954.33,2.24,7.81,2948,3785,4422,5762,11363
984.9886364,Juniperus virginiana,Eastern redcedar,0,10,9088,1.54,14.23,8.37,3.01,-0.49,2.4,2.65,6.76,8.89,10.66,11.57,159,2546,14874,4571,2032.66,2.81,12.29,2814,3417,4154,4690,6298
831.6702128,Juniperus virginiana,Eastern redcedar,0,10,9089,1.38,14.37,7.47,2.87,0.24,3.16,2.48,5.9,7.62,8.56,11.56,180,2546,19430,6028,3238.24,2.23,8.41,2948,4120,5159,6968,9286
1052.96,Juniperus virginiana,Eastern red-cedar,0,10,9090,1.37,19.37,10.24,5.56,0.19,1.5,2.72,5.51,8.13,16.02,17.89,648,2412,31304,5524,4828.4,2.86,11.08,2680,3216,3752,4824,11524
743.8108108,Taxodium distichum,Bald cypress,0,6,9096,3.84,12.08,6.79,2.22,0.51,2.11,4.11,4.86,6.31,8.79,9.78,57,2814,7906,4264,1098.63,1.51,5.42,3055,3484,4154,4422,5414
713.8064516,Taxodium distichum,Bald cypress,0,6,9098,3.98,10.12,6.53,1.91,0.49,1.66,4.51,4.87,5.79,8.42,9.28,57,2412,8308,4728,1228.85,0.69,3.17,3055,3886,4556,5360,6271
827.2181818,Taxodium distichum,Bald cypress,0,6,9099,3.36,12.62,7.43,2.73,0.25,1.82,3.75,5.03,7.05,9.92,11.29,94,2948,7504,4386,1125.79,0.96,3.34,2948,3517,4154,4958,6084
634.7,Quercus rubra,Red oak,1,2,9101,3.06,8.66,6.61,2.28,-0.66,1.58,3.12,4.9,8.16,8.23,8.4,9,2814,3886,3201,317.42,1.03,3.12,2868,3082,3082,3216,3564
614.5714286,Taxodium distichum,Bald cypress,0,6,9102,2.93,9.07,5.19,1.94,0.69,1.99,3.35,3.56,4.48,6.85,7.77,31,2948,11122,5153,1765.83,1.64,5.8,3484,4087,4824,5494,6968
590.3809524,Taxodium distichum,Bald cypress,0,6,9103,4.01,8.17,5.75,1.34,0.4,1.96,4.06,4.58,5.71,6.66,7.91,22,3082,10988,5719,1851.86,1.15,4.11,3631,4589,5293,6767,7357
1012.659574,Platanus occidentalis,American sycamore,1,4,9108,1.38,16.19,7.49,3.49,0.06,2.44,1.47,4.35,7.77,9.94,11.69,222,2546,32767,11080,10135.5,1.08,2.63,2948,3618,5293,18592,29979
1056.065574,Quercus rubra,Red oak,1,2,9111,2.94,15.58,9.16,3.33,-0.49,2.25,3.15,6.41,9.74,11.64,12.71,142,2546,11658,3789,1139.06,3.01,18.35,2814,3082,3484,4154,5092
858.6904762,Pinus taeda,Loblolly Pine,0,7,9112,2.36,13.79,7.61,3.01,0.16,1.87,3.21,4.9,7.44,10.56,11.52,213,2680,29480,14044,7505.24,0.24,1.82,4234,6834,13936,19698,24817
487.6363636,Taxodium distichum,Bald cypress,0,6,9113,3.21,5.93,4.94,0.81,-0.51,2.63,3.79,4.54,4.83,5.64,5.91,11,2814,8040,4775,1407.03,0.96,3.41,3216,4020,4288,5293,6030
659.2619048,Ulmus parvifolia,Chinese elm,1,3,9114,3.5,8.56,6.28,1.43,-0.03,1.73,4.02,5.15,6.04,7.81,8.16,158,2546,21038,4559,2502.46,3.84,21.58,2814,3249,3886,4690,6606
489.3529412,Taxodium distichum,Bald cypress,0,6,9115,1.37,6.35,3.9,1.49,-0.15,2.18,1.38,3.19,3.65,4.78,5.88,19,2546,8442,4429,1776.29,1.26,3.4,2667,3350,3886,4690,7370
494.7037037,Ulmus parvifolia,Chinese elm,1,3,9119,1.38,6.32,4.13,1.6,-0.47,2.02,1.41,3.25,4.38,5.41,6.05,34,2814,32767,7547,8803.77,2.09,5.62,2948,3517,4020,4790,24168
705.0769231,Ulmus parvifolia,Chinese elm,1,3,9129,1.37,9.11,6.02,2.56,-0.71,2.17,1.39,4.45,6.75,8.04,8.69,49,2680,32767,6379,7176.41,2.65,8.69,2868,3216,3886,4422,12757
823.7572816,Pinus strobus,White pine,0,7,9165,2.52,12.96,7.48,2.82,-0.14,1.89,2.83,5.45,7.64,10.02,11,287,2948,29078,14105,7069.77,0.19,1.9,4020,7638,13936,19564,24361
1031.378947,Pinus strobus,White pine,0,7,9166,3.84,14.62,9.37,2.97,-0.22,1.97,4.39,6.9,9.32,12.13,13.29,298,2680,29480,15448,7784.45,0.04,1.72,4000,7906,15209,22110,25902
1350.553846,Quercus rubra,Red oak,1,2,9173,6.71,17.73,13.57,2.82,-0.54,2.77,8.41,12.25,13.35,16.26,16.91,30,2680,4824,3484,512.38,0.74,2.88,2948,3082,3350,3752,4167
347.5,Cercis canadensis,Eastern redbud,1,5,9179,1.59,4.07,3.32,0.4,-0.87,6.58,2.81,3.11,3.32,3.53,3.87,65,2948,10318,4896,1551.9,1.56,5.32,3350,3886,4422,5628,6566
1868.764706,Quercus rubra,Red oak,1,2,9205,2.31,23.84,16.86,5.02,-2.03,6.49,2.65,16.65,17.68,19.56,20.82,53,2814,32767,6435,5753.54,3.69,16.96,3109,3752,4690,6566,9943
549.9615385,Ulmus parvifolia,Chinese elm,1,3,9209,1.43,6.61,4.97,1.24,-0.85,3.4,3.08,4.01,5.16,5.98,6.35,49,2680,27336,4129,3457.88,6.29,42.27,2814,3216,3618,3886,4449
